================ Training Loss (Sun Oct 16 23:32:46 2022) ================
(epoch: 1063, iters: 64, time: 0.189, data: 6.157) G_GAN: 1.190 G_L1: 2.789 D_real: 0.429 D_fake: 0.542 
(epoch: 1075, iters: 128, time: 0.197, data: 0.019) G_GAN: 0.880 G_L1: 2.545 D_real: 0.742 D_fake: 0.240 
(epoch: 1088, iters: 64, time: 0.191, data: 6.174) G_GAN: 2.200 G_L1: 2.686 D_real: 0.157 D_fake: 0.304 
(epoch: 1100, iters: 128, time: 0.198, data: 0.018) G_GAN: 0.658 G_L1: 2.984 D_real: 1.105 D_fake: 0.155 
(epoch: 1113, iters: 64, time: 0.191, data: 6.162) G_GAN: 1.988 G_L1: 2.760 D_real: 0.199 D_fake: 0.117 
(epoch: 1125, iters: 128, time: 0.200, data: 0.018) G_GAN: 1.850 G_L1: 3.160 D_real: 0.200 D_fake: 0.210 
(epoch: 1138, iters: 64, time: 0.192, data: 6.001) G_GAN: 2.073 G_L1: 2.972 D_real: 0.196 D_fake: 0.176 
(epoch: 1150, iters: 128, time: 0.202, data: 0.014) G_GAN: 2.148 G_L1: 3.011 D_real: 0.204 D_fake: 0.141 
(epoch: 1163, iters: 64, time: 0.194, data: 6.160) G_GAN: 1.691 G_L1: 3.071 D_real: 0.232 D_fake: 0.187 
(epoch: 1175, iters: 128, time: 0.205, data: 0.015) G_GAN: 2.165 G_L1: 2.794 D_real: 0.172 D_fake: 0.194 
(epoch: 1188, iters: 64, time: 0.193, data: 6.219) G_GAN: 1.700 G_L1: 2.877 D_real: 0.181 D_fake: 0.245 
(epoch: 1200, iters: 128, time: 0.204, data: 0.014) G_GAN: 2.971 G_L1: 3.128 D_real: 0.193 D_fake: 0.065 
